control,,fire,
time,CH4,time,CH4
16/06/2015,-0.692097363,16/06/2015,0.758750557
23/06/2015,-0.359191166,23/06/2015,0.050071419
26/06/2015,-0.620372114,26/06/2015,0.086469878
02/07/2015,-1.142810558,02/07/2015,0.270873425
29/07/2015,-0.926792787,29/07/2015,-0.108305891
09/08/2015,-0.37166845,09/08/2015,-0.334504514
14/08/2015,0.296670019,14/08/2015,0.147822905
31/08/2015,1.11056405,31/08/2015,-1.009961925
04/09/2015,0.849038637,04/09/2015,-0.713377639
11/09/2015,1.665688386,11/09/2015,-0.529242009
22/09/2015,0.993055587,22/09/2015,-0.569345379
04/10/2015,0.454174685,04/10/2015,-0.929701602
10/10/2015,0.899039632,10/10/2015,-0.350954627
16/10/2015,0.986717433,16/10/2015,-0.441801506
mean,0.072916749,mean,-0.177340834
